Skill,Resource(free),Resource(paid)
Automation Tools (Zapier), https://zapier.com/learn,https://www.udemy.com/course/zapier-automation-course/
AWS,AWS Free Tier + AWS Skill Builder,A Cloud Guru (Pluralsight)
AWS EC2/S3, https://docs.aws.amazon.com/ec2/ & https://docs.aws.amazon.com/s3/, https://www.coursera.org/specializations/aws-fundamentals
Azure,https://learn.microsoft.com/en-us/training/azure/,https://www.whizlabs.com/azure-certification/
Babel,https://babeljs.io/docs/, https://frontendmasters.com/courses/babel/
BambooHR, https://www.bamboohr.com/resources/,Udemy.com – BambooHR for Beginners
Bloomberg Market Concepts (BMC),https://www.gnu.org/software/bash/manual/,Linux Academy via A Cloud Guru
Bayesian Inference,https://greenteapress.com/wp/think-bayes/,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/
BERT, https://ai.googleblog.com/2018/11/open-sourcing-bert-state-of-art-pre.html,Coursera – NLP Specialization by DeepLearning.AI
BigQuery, https://www.cloudskillsboost.google/paths/9,Coursera – Google Cloud BigQuery and Looker
Blender (3D), https://www.youtube.com/user/AndrewPPrice,CG Cookie – Blender Courses
Bloomberg Terminal, https://portal.bloombergforeducation.com/,https://portal.bloombergforeducation.com/ 
BPMN, https://camunda.com/learn/bpmn/,https://www.udemy.com/course/bpmn-modeling/
Bootstrap,https://getbootstrap.com/docs/, https://scrimba.com/learn/bootstrap5
Branding,https://getbootstrap.com/docs/,https://www.skillshare.com/classes/Building-a-Brand-From-Strategy-to-Design/
Budgeting Tools, https://mint.intuit.com/,https://www.youneedabudget.com/
Budgeting Tools (Zoho Expense), https://www.zoho.com/expense/, https://www.zoho.com/expense/
Burp Suite, https://portswigger.net/web-security, https://www.udemy.com/course/burp-suite-for-bug-bounty-hunters/
Business Intelligence,Microsoft Learn – Power BI Learning Path,"https://www.coursera.org/specializations/wharton-business-analytics

"
Business Process Re-engineering, https://www.lucidchart.com/blog/how-to-create-a-business-process-model, https://www.udemy.com/course/business-process-reengineering/
C++,LearnCpp.com,https://www.udemy.com/course/beginning-c-plus-plus-programming/
Calendly, https://help.calendly.com/,LinkedIn Learning – Mastering Calendly for Business
Canva,https://www.canva.com/designschool/,https://www.skillshare.com/classes/Canva-Masterclass-For-Beginners
Canva for Education, https://www.canva.com/education/,Teachers Pay Teachers – Canva Projects for Educators
CATIA,"https://www.3ds.com/support/documentation/

",https://www.coursera.org/projects/introduction-to-catia-v5
CEH,https://www.cybrary.it/course/ethical-hacking/,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
CI/CD,GitHub Docs – CI/CD with GitHub Actions,https://www.udemy.com/course/learn-devops-ci-cd-with-jenkins-using-pipelines-and-docker/
CI/CD Pipelines,https://www.codecademy.com/learn/learn-devops,https://www.pluralsight.com/courses/ci-cd-pipelines-devops
Cloud (AWS EC2/S3),AWS Skill Builder – EC2 & S3 Modules,https://www.coursera.org/specializations/aws-cloud-solutions-architect
CodePush,https://github.com/microsoft/code-push,https://www.udemy.com/course/codepush-deployment-for-react-native/
Cold Email Tools,https://academy.hubspot.com/courses/email-marketing,https://reply.io/cold-email-masterclass/
Confluence,https://www.atlassian.com/software/confluence/guides,LinkedIn Learning – Learning Confluence Cloud
Control Theory,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science,Coursera – Control of Mobile Robots (Georgia Tech)
Copywriting Frameworks,"CopywritingCourse – AIDA, PAS, and More","https://www.udemy.com/course/copywriting-secrets/
"
CRM Integration,"https://zapier.com/learn/

",https://www.udemy.com/course/salesforce-platform-app-builder-developer-certification/
CRM Workflows,HubSpot Academy – CRM Setup & Automation,LinkedIn Learning – CRM Workflow Automation
CSS,MDN Web Docs – CSS Guide,https://scrimba.com/learn/responsivedesign
Customer Segmentation,"https://www.kaggle.com/datasets

",https://www.coursera.org/learn/wharton-customer-analytics
Cypress,https://docs.cypress.io/,https://www.udemy.com/course/cypress-tutorial/
Dart,https://dart.dev/guides,https://www.udemy.com/course/dart-and-flutter-the-complete-developer-guide/
Data Cleansing,https://www.kaggle.com/learn/data-cleaning,https://www.coursera.org/learn/data-cleaning
Data Migration,Microsoft Learn – Data Migration Scenarios,https://www.linkedin.com/learning/data-migration-foundations
Data Studio,https://support.google.com/looker-studio,https://www.udemy.com/course/google-data-studio-complete-beginner-to-advanced/
Data Warehousing,https://www.coursera.org/learn/dwdesign,https://www.udemy.com/course/data-warehouse-concepts/
Data Wrangling,https://www.kaggle.com/learn/pandas,https://www.udemy.com/course/data-wrangling-in-python-using-pandas-and-numpy/
Databricks,https://academy.databricks.com/collections/free-training,https://www.pluralsight.com/search?q=databricks
DAX,https://www.sqlbi.com/guides/dax/,https://www.udemy.com/course/dax-power-bi/
DDL,https://www.geeksforgeeks.org/sql-ddl-dql-dml-dcl-tcl-commands/,https://www.udemy.com/course/the-complete-sql-bootcamp/
Demo Tools,https://www.figma.com/,https://www.techsmith.com/video-editor.html
Design Patterns,https://refactoring.guru/design-patterns,https://www.coursera.org/learn/design-patterns
DFS,https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/,https://www.coursera.org/specializations/data-structures-algorithms
Docker,https://docs.docker.com/get-started/,https://www.udemy.com/course/docker-mastery/
Doodle,https://www.skillshare.com/browse/doodle-art,https://www.skillshare.com/browse/doodle-art
DVC,https://dvc.org/doc,https://www.udemy.com/course/data-version-control/
ELK Stack,https://www.youtube.com/user/elasticsearch,https://www.elastic.co/training/
Embedded C,https://www.learn-c.org/,https://www.coursera.org/learn/introduction-embedded-systems
Employee Engagement Tools,https://www.officevibe.com/,https://www.cultureamp.com/
End-to-end Testing,https://playwright.dev/docs/intro,https://www.udemy.com/course/end-to-end-testing-with-cypress/
Enterprise-level Testing,https://playwright.dev/,https://www.microfocus.com/en-us/products/alm-quality-center/overview
Entity Framework,https://learn.microsoft.com/en-us/training/modules/persist-data-ef-core/,https://www.pluralsight.com/authors/julie-lerman
ERP Concepts,https://www.netsuite.com/portal/resource/articles/erp/what-is-erp.shtml,https://learning.sap.com/
ES6/ESNext,https://www.youtube.com/watch?v=IEf1KAcK6A8,https://www.udemy.com/course/javascript-es6-tutorial/
Eventbrite,https://www.eventbrite.com/platform/api/,https://www.coursera.org/courses?query=event%20planning
Excel,https://support.microsoft.com/en-us/excel,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
Excel (Finance Libraries),https://www.xlwings.org/,https://www.udemy.com/course/the-complete-financial-analyst-course/
"Excel (VBA, Pivot)",https://docs.microsoft.com/en-us/office/vba/api/overview/excel,https://www.coursera.org/specializations/excel
"Explainable AI (SHAP, LIME)",https://github.com/shap/shap/tree/master/notebooks,https://www.datacamp.com/courses/model-interpretability-with-lime-and-shap
Exploratory Data Analysis,https://www.datacamp.com/tutorial/exploratory-data-analysis-python,https://www.udemy.com/course/exploratory-data-analysis-with-pandas-and-python/
Express.js,https://expressjs.com/en/starter/installing.html,https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/
Fact-Checking Tools,https://toolbox.google.com/factcheck/explorer,https://www.newsguardtech.com/
FastAPI,https://fastapi.tiangolo.com/tutorial/,https://www.udemy.com/course/fastapi-the-complete-guide/
FICO modules,https://www.tutorialspoint.com/sap_fico/index.htm,https://www.udemy.com/course/sap-fico-configuration-and-end-user/
Financial Forecasting,https://corporatefinanceinstitute.com/resources/financial-modeling/financial-forecasting-guide/,https://www.udemy.com/course/financial-forecasting-in-excel/
Finite Element Analysis,https://www.coursera.org/learn/finite-element-method,https://www.udemy.com/course/finite-element-analysis-a-practical-introduction/
Firebase,https://firebase.google.com/docs,https://www.udemy.com/course/firebase-the-complete-guide/
Firewalls,https://www.netacad.com/courses/cybersecurity/introduction-cybersecurity,https://www.udemy.com/course/firewall-administration-network-security/
Figma,https://help.figma.com/hc/en-us/categories/360002051433-Learn-Design,https://www.udemy.com/course/learn-figma/
Flask,https://flask.palletsprojects.com/en/latest/,https://www.udemy.com/course/python-and-flask-bootcamp-create-websites-using-flask/
Flutter,https://flutter.dev/docs,https://www.udemy.com/course/flutter-dart-the-complete-guide/
Fusion 360,https://help.autodesk.com/view/fusion360/ENU/,https://www.udemy.com/course/autodesk-fusion-360-for-beginners/
Gamified Learning,https://www.classcraft.com/,https://www.udemy.com/course/gamification-complete-guide/
GANs,https://developers.google.com/machine-learning/gan,https://www.udemy.com/course/generative-adversarial-networks-gans/
Gantt Charts,https://www.teamgantt.com/guide-to-gantt-charts,https://www.udemy.com/course/microsoft-project-masterclass-gantt-charts-project-management/
GD&T,https://www.engineersedge.com/gdt.htm,https://www.udemy.com/course/gdt-geometric-dimensioning-and-tolerancing/
Git,https://git-scm.com/doc,https://www.udemy.com/course/git-and-github-bootcamp/
GitHub Actions,https://docs.github.com/en/actions,https://www.udemy.com/course/github-actions-the-complete-guide/
GitOps,https://www.weave.works/technologies/gitops/,https://www.udemy.com/course/gitops-ci-cd-with-github-actions-argo-cd-kubernetes/
Google Ads,https://skillshop.withgoogle.com/,https://www.udemy.com/course/google-ads-certification/
Google Analytics,https://analytics.google.com/analytics/academy/,https://www.udemy.com/course/google-analytics-certification/
Google Classroom,https://edu.google.com/intl/ALL_us/teacher-center/products/classroom/,https://www.udemy.com/course/google-classroom-guide/
Google Docs,https://support.google.com/docs/answer/6282736,https://www.udemy.com/course/mastering-google-docs/
Google UX Research Certifications,https://www.coursera.org/learn/conduct-ux-research,https://www.coursera.org/professional-certificates/google-ux-design
Grafana,https://grafana.com/docs/grafana/latest/,https://www.udemy.com/course/grafana-complete-guide/
Grammarly,https://www.grammarly.com/grammar-check,https://www.grammarly.com/premium
GraphQL,https://graphql.org/learn/,https://www.udemy.com/course/graphql-the-complete-developers-guide/
GSAP,https://greensock.com/docs/,https://www.udemy.com/course/gsap-the-definitive-guide/
GST Filing,https://www.indiafilings.com/learn/gst-return-filing-process/,https://www.udemy.com/course/gst-return-filing-process-online-gst-returns-in-tally-erp9/
Hadoop,https://hadoop.apache.org/docs/stable/,https://www.udemy.com/course/the-ultimate-hands-on-hadoop/
HANA,https://developers.sap.com/learning-journey/getting-started-with-sap-hana-cloud.html,https://www.udemy.com/course/sap-hana-introduction/
Helm,https://helm.sh/docs/,https://www.udemy.com/course/helm-for-kubernetes/
Hibernate,https://hibernate.org/learn/,https://www.udemy.com/course/hibernate-tutorial/
Hotjar,https://help.hotjar.com/,https://www.udemy.com/course/hotjar-learn-how-to-use-hotjar-to-improve-your-website/
"HRIS (Workday, BambooHR)",https://www.workday.com/en-us/pages/resources.html,https://www.udemy.com/course/workday-hcm-training/
HTML,https://developer.mozilla.org/en-US/docs/Web/HTML,https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/
HubSpot,https://academy.hubspot.com/courses,https://www.udemy.com/course/hubspot-crm-masterclass/
HubSpot Sales,https://academy.hubspot.com/courses/sales-enablement,https://www.udemy.com/course/hubspot-for-sales/
HuggingFace Transformers,https://huggingface.co/transformers/,https://www.udemy.com/course/nlp-with-transformers/
IDEs (VS Code),https://code.visualstudio.com/docs,https://www.linkedin.com/learning/learning-visual-studio-code-2
IDS/IPS,https://www.snort.org/,https://www.udemy.com/course/network-security-complete-idps-course/
IFRS,https://www.ifrs.org/issued-standards/list-of-standards/,https://www.coursera.org/learn/ifrs
Illustrator,https://helpx.adobe.com/illustrator/tutorials.html,https://www.linkedin.com/learning/illustrator-2023-essential-training
InDesign,https://helpx.adobe.com/indesign/tutorials.html,https://www.udemy.com/course/indesign-cc-masterclass/
Interview Recording Tools,https://meet.google.com/,https://www.hirevue.com/platform/video-interviewing
IoT Integration,https://learn.microsoft.com/en-us/azure/iot-fundamentals/iot-introduction,https://www.coursera.org/learn/iot
Java,https://www.codecademy.com/learn/learn-java,https://www.udemy.com/course/java-the-complete-java-developer-course/
JavaScript,https://developer.mozilla.org/en-US/docs/Web/JavaScript,https://www.udemy.com/course/the-complete-javascript-course/
Jenkins,https://www.jenkins.io/doc/,https://www.udemy.com/course/learn-devops-ci-cd-with-jenkins-using-pipelines-and-docker/
Jetpack Compose,https://developer.android.com/jetpack/compose/documentation,https://www.udemy.com/course/jetpack-compose-crash-course-for-android-with-kotlin/
JIRA,https://www.atlassian.com/software/jira/guides,https://www.udemy.com/course/jira-training-course/
JUnit/PyTest,https://docs.pytest.org/en/stable/      ,https://www.udemy.com/course/unit-testing-java-junit5/
Jupyter,https://jupyter.org/,https://www.udemy.com/course/jupyter-notebook-tutorials/
JWT,https://jwt.io/introduction,https://www.udemy.com/course/jwt-authentication/
Kahoot,https://kahoot.com/schools-u/,https://kahoot.com/buy/
Kali Linux,https://www.kali.org/docs/,https://www.udemy.com/course/kali-linux-hacking-lab/
Kanban,https://www.atlassian.com/agile/kanban,https://www.udemy.com/course/kanban-certification/
Key Performance Indicators (KPIs),https://www.klipfolio.com/resources/articles/what-is-a-kpi,https://www.udemy.com/course/kpi-development/
Keyword Research,https://neilpatel.com/ubersuggest/,https://moz.com/explorer
Keras,https://keras.io/getting_started/,https://www.udemy.com/course/deeplearning/
KMM,https://kotlinlang.org/lp/mobile/,https://www.udemy.com/course/kotlin-multiplatform-mobile-build-ios-and-android-apps/
KMP,https://kotlinlang.org/docs/multiplatform.html,https://www.udemy.com/course/kotlin-multiplatform-project/
Kotlin,https://kotlinlang.org/docs/home.html,https://www.udemy.com/course/kotlin-for-beginners-learn-programming-with-kotlin/
KPI Dashboards,https://databox.com/dashboard-examples,https://www.udemy.com/course/build-interactive-excel-dashboards/
KVM,https://wiki.libvirt.org/KVM.html,https://www.udemy.com/course/kvm-hands-on/
LabVIEW,https://www.ni.com/en/support/downloads/drivers/download.labview.html,https://www.udemy.com/course/ni-labview-training-course-for-beginners/
Labor Law Knowledge,https://labour.gov.in/,https://www.udemy.com/course/labor-law-and-employment-law-compliance-a-to-z/
LaTeX,https://www.latex-tutorial.com/,https://www.udemy.com/course/latex-and-overleaf-crash-course/
Lead Scoring,https://blog.hubspot.com/marketing/lead-scoring,https://www.udemy.com/course/hubspot-marketing-lead-scoring/
Lever,https://www.lever.co/resources/,https://www.lever.co/pricing/
LIME,https://marcotcr.github.io/lime/,https://www.udemy.com/course/interpretable-machine-learning-with-python/
Linux,https://linuxjourney.com/,https://www.udemy.com/course/linux-for-beginners/
LMS,https://moodle.org/,https://www.udemy.com/course/create-your-own-online-course-platform-like-udemy/
LMS Management,https://www.talentlms.com/,https://www.learnworlds.com/pricing/
Looker,https://cloud.google.com/looker/docs,https://www.udemy.com/course/looker-data-visualization-complete-course/
Mailchimp,https://mailchimp.com/resources/,https://mailchimp.com/pricing/
Market Research Platforms,https://www.questionpro.com/,https://www.qualtrics.com/research-services/
Marketo,https://business.adobe.com/products/marketo/adobe-marketo.html,https://business.adobe.com/products/marketo/marketo-pricing.html
MATLAB,https://matlabacademy.mathworks.com/,https://www.udemy.com/course/matlab-tutorial/
Maze,https://maze.co/,https://maze.co/pricing/
Meta Ads,https://www.facebook.com/business/learn,https://www.udemy.com/course/facebook-ads-facebook-marketing-mastery-guide/
Metasploit,https://docs.rapid7.com/metasploit/,https://www.udemy.com/course/metasploit-unleashed/
Microservices,https://microservices.io/,https://www.udemy.com/course/microservices-architecture-and-implementation-on-dotnet/
Miro,https://miro.com/signup/,https://miro.com/pricing/
MITRE ATT&CK,https://attack.mitre.org/,https://www.cybrary.it/course/mitre-att-ck-framework/
MLflow,https://mlflow.org/docs/latest/index.html,https://www.udemy.com/course/mlflow/
Model Monitoring,https://cloud.google.com/blog/products/ai-machine-learning/introducing-vertex-ai-model-monitoring,https://www.udemy.com/course/mlops-data-drift-detection-model-monitoring/
Model Validation,https://scikit-learn.org/stable/modules/cross_validation.html,https://www.coursera.org/learn/aml-model-validati
MongoDB,https://learn.mongodb.com/,https://www.udemy.com/course/mongodb-the-complete-developers-guide/
Monte Carlo Simulation,https://www.analyticsvidhya.com/blog/2021/06/introduction-to-monte-carlo-simulation/,https://www.udemy.com/course/monte-carlo-simulation-excel/
Moodle,https://moodle.org/demo/,https://moodle.com/solutions/plans/
Motion Graphics,https://motionarray.com/learn/motion-graphics/,https://www.udemy.com/course/motion-graphics-animated-explainer-video/
MS Project,https://support.microsoft.com/en-us/project,https://www.udemy.com/course/mastering-ms-project-made-easy-training-tutorial-course/
MS Teams,https://learn.microsoft.com/en-us/microsoftteams/teams-overview,https://www.udemy.com/course/microsoft-teams-course/
Nagios,https://www.nagios.org/documentation/,https://www.udemy.com/course/learn-nagios-network-monitoring/
Nessus,https://www.tenable.com/products/nessus/nessus-essentials,https://www.udemy.com/course/nessus-vulnerability-scanner/
NestJS,https://docs.nestjs.com/,https://www.udemy.com/course/nestjs-zero-to-hero/
Next.js,https://nextjs.org/learn,https://www.udemy.com/course/nextjs-react-the-complete-guide/
"NLP (BERT, GPT)",https://huggingface.co/learn/nlp-course/chapter1,https://www.udemy.com/course/nlp-with-transformers/
Nmap,https://nmap.org/book/,https://www.udemy.com/course/nmap-for-ethical-hacking/
Node.js,https://nodejs.dev/en/learn/,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/
NoSQL Databases,https://www.mongodb.com/nosql-explained,https://www.udemy.com/course/nosql-mongodb/
NumPy,https://numpy.org/learn/,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
OAuth,https://datatracker.ietf.org/doc/html/rfc6749,https://www.udemy.com/course/oauth-2/
Object-oriented Programming,https://www.freecodecamp.org/news/object-oriented-programming-concepts/,https://www.udemy.com/course/python-object-oriented-programming-for-beginners/
Observability Tools,https://thenewstack.io/a-beginners-guide-to-observability/,https://www.udemy.com/course/mastering-observability-with-prometheus-and-grafana/
OBS Studio,https://obsproject.com/help,https://www.udemy.com/course/obs-studio-beginner-to-pro-live-streaming-guide/
OKRs,https://www.workboard.com/okr-guide,https://www.udemy.com/course/okrs-objectives-and-key-results/
Online Assessment Tools,https://www.techradar.com/best/free-online-assessment-tools,https://www.udemy.com/course/mastering-online-assessments/
ONNX,https://onnx.ai/tutorials/,https://www.udemy.com/course/deep-learning-model-deployment-with-onnx/
OOP,https://www.freecodecamp.org/news/object-oriented-programming-concepts-for-beginners/,https://www.udemy.com/course/python-object-oriented-programming-for-beginners/
OWASP Top 10,https://owasp.org/www-project-top-ten/,https://www.udemy.com/course/complete-owasp-top-10-web-application-security/
Pandas,https://pandas.pydata.org/pandas-docs/stable/getting_started/index.html,https://www.udemy.com/course/python-for-data-analysis-with-pandas-numpy/
PAS,https://www.tutorialspoint.com/pascal/index.htm,https://www.udemy.com/course/pascal-programming-language/
Payroll Tools (ADP),https://www.adp.com/resources.aspx,https://www.udemy.com/course/mastering-adp-payroll-comprehensive-training/
Performance Management Systems,https://www.shrm.org/resourcesandtools/tools-and-samples/,https://www.udemy.com/course/performance-management-employee-performance-and-development/
Photoshop,https://helpx.adobe.com/photoshop/tutorials.html,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/
Play Store Deployment,Getting Started with React,React – The Complete Guide 2025
PMP,https://www.pmi.org/certifications/project-management-pmp,https://www.pmi.org/shop/p-/elearning/pmp-exam-prep-elearning-course/00100364001
Power BI,https://www.coursera.org/learn/data-visualization-power-bi,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
PowerShell,https://learn.microsoft.com/en-us/powershell/,https://www.udemy.com/course/learn-windows-powershell/
Premiere Pro,https://helpx.adobe.com/premiere-pro/tutorials.html,https://www.linkedin.com/learning/premiere-pro-2023-essential-training
Prometheus,https://prometheus.io/docs/introduction/overview/,https://www.udemy.com/course/prometheus/
Proposal Tools,https://betterproposals.io/templates,https://www.pandadoc.com/proposal-software/
Prototyping Tools,https://www.figma.com/,https://www.axure.com/
PySpark,https://spark.apache.org/docs/latest/api/python/,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/
PyTorch,https://pytorch.org/tutorials/,https://www.coursera.org/learn/deep-neural-networks-with-pytorch
Python,https://docs.python.org/3/tutorial/,https://www.udemy.com/course/100-days-of-code/
Python (Finance Libraries),https://blog.quantinsti.com/python-libraries-finance/,https://www.coursera.org/learn/python-statistics-financial-analysis
QuillBot,https://quillbot.com/,https://quillbot.com/upgrade
R,https://r4ds.had.co.nz/,https://www.datacamp.com/tracks/r-programmer
RACI,https://www.smartsheet.com/raci-matrix-templates,https://www.linkedin.com/learning/using-the-raci-model
Raspberry Pi,https://projects.raspberrypi.org/en/,https://www.udemy.com/course/raspberry-pi-bootcamp/
React,https://reactjs.org/docs/getting-started.html,https://www.udemy.com/course/react-front-to-back/
React Testing Library,https://testing-library.com/docs/react-testing-library/intro/,https://egghead.io/courses/testing-react-applications-with-react-testing-library
Reconciliation Tools,https://www.vertex42.com/ExcelTemplates/account-reconciliation.html,https://www.blackline.com/products/account-reconciliations/
Redis,https://redis.io/docs/,https://www.udemy.com/course/learn-redis-the-hard-way/
Redux,https://redux.js.org/introduction/getting-started,https://www.udemy.com/course/react-redux/
Regression,https://scikit-learn.org/stable/modules/linear_model.html,https://www.coursera.org/learn/regression-analysis
Reporting Dashboards,https://lookerstudio.google.com/ (formerly Google Data Studio),https://www.udemy.com/course/data-visualization-dashboard-in-power-bi/
Research Paper Writing,https://www.scribbr.com/academic-writing/research-paper/,https://www.coursera.org/learn/academic-writing
Research Skills,https://libguides.usc.edu/researchskills,https://www.udemy.com/course/research-methods-and-skills/
Research Tools,https://www.mendeley.com/,https://www.zotero.org/support/premium 
Responsive Design,https://developer.mozilla.org/en-US/docs/Learn/CSS/CSS_layout/Responsive_Design,https://www.udemy.com/course/responsive-web-design/
REST APIs,https://www.restapitutorial.com/,https://www.udemy.com/course/rest-api-design/
REST/GraphQL,https://graphql.org/learn/,https://www.udemy.com/course/graphql-beginner/
REST/GraphQL APIs,https://www.apollographql.com/docs/,https://www.udemy.com/course/fullstack-graphql/
Retrofit,https://square.github.io/retrofit/,https://www.udemy.com/course/retrofit-android/
Revit,https://www.autodesk.com/education/edu-software/overview?sorting=featured&page=1 ,https://www.udemy.com/course/revit-architecture-course/
RMarkdown,https://rmarkdown.rstudio.com/,https://www.udemy.com/course/r-markdown-reporting/
Risk Management Tools,https://asana.com/templates/risk-management,https://www.logicgate.com/solutions/enterprise-risk-management/
Robotics,https://www.coursera.org/learn/robotics-foundations1,https://www.udemy.com/course/robotics/
Room DB,https://developer.android.com/training/data-storage/room,https://www.udemy.com/course/android-room-database/
S3,https://docs.aws.amazon.com/s3/index.html,https://www.linkedin.com/learning/aws-certified-solutions-architect-associate-2020
SageMaker,https://sagemaker-examples.readthedocs.io/,https://www.coursera.org/learn/practical-data-science
Sales Navigator,https://www.linkedin.com/help/sales-navigator/answer/a507663,https://business.linkedin.com/sales-solutions/sales-navigator
Salesforce,https://trailhead.salesforce.com/,https://www.udemy.com/course/salesforce-new-user-training/
SAP BW/BI,https://help.sap.com/viewer/product/SAP_BUSINESS_INFORMATION_WAREHOUSE/,https://www.michaelmanagement.com/sap-training/sap-bi
SAP Cloud Platform,https://developers.sap.com/,https://open.sap.com/courses/btp1
SAP Fiori,https://help.sap.com/docs/SAP_FIORI,https://www.udemy.com/course/sap-fiori-training/
SAP HANA,https://www.youtube.com/user/saphanaacademy,https://www.coursera.org/learn/sap-hana
SAP MM/SD/FICO modules,https://www.guru99.com/free-sap-training-course.html,https://www.michaelmanagement.com/sap-training/sap-mm-training
SAP S/4HANA,https://open.sap.com/,https://www.udemy.com/course/sap-s4hana-training/
SAS,https://www.sas.com/en_us/learn/analytics-u.html,https://www.coursera.org/learn/getting-started-with-sas-programming
Scikit-learn,https://scikit-learn.org/stable/tutorial/index.html,Python for Data Science and Machine Learning Bootcamp
Scrum,https://scrumguides.org/scrum-guide.html,https://www.coursera.org/specializations/scrum-master
SDLC,https://www.geeksforgeeks.org/software-engineering-software-development-life-cycle,https://www.udemy.com/course/software-development-lifecycle-sdlc/
SEO,https://moz.com/beginners-guide-to-seo,https://www.udemy.com/course/seo-2025-complete-seo-training/
SEO Principles,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,https://www.coursera.org/specializations/seo
SEO Tools,https://ahrefs.com/blog/,https://www.udemy.com/course/semrush-tools-training/
SEM,https://skillshop.withgoogle.com/,https://www.udemy.com/course/google-ads-course/
SEMrush,https://www.semrush.com/academy/,https://www.udemy.com/course/semrush-tools-training/
Sensors,https://www.arduino.cc/en/Tutorial/Sensors,https://www.udemy.com/course/electronics-embedded-systems-practical-tech/
Serverless Architecture,https://aws.amazon.com/serverless/,https://www.coursera.org/specializations/cloud-computing
SHAP,https://shap.readthedocs.io/en/latest/,https://www.udemy.com/course/shap-interpretable-machine-learning/
SIEM,Free Training Courses | Splunk,https://www.udemy.com/course/splunk-certified-power-user/
Simulink,Simulink Onramp | Self-Paced Online Courses,https://www.udemy.com/course/matlab-and-simulink-training/
Sketch,Get started with official documentation and guides · Sketch,https://www.udemy.com/course/sketch-app-design/
Smartsheet,Smartsheet Learning Center,https://www.linkedin.com/learning/smartsheet-essential-training
SOC,https://www.cybrary.it/course/soc-operations/,https://www.udemy.com/course/soc-analyst-training/
Social Media Planning Tools,Social Media Marketing Certification Course: Get Certified in Social Media Strategy,https://www.udemy.com/course/social-media-marketing-mastery/
SolidWorks,SolidWorks Web Help,https://www.coursera.org/specializations/solidworks
Spark,Quick Start - Spark 4.0.0 Documentation,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on
